id,title,authors.name,year,fos.name,n_citation,references,abstract
600aa63491e0118dac795033,nadir is king,"['Nadir Yaakov', 'Ben Zakai']",2020,Nurology,0,[],Nadir is the best king
600aa63491e0118dac781561,Completely unrelated topic,['Random'],2020,Cooking,0,[],This paper is about baking cakes and has nothing to do with any other nodes in the dataset
600aa63491e8418dac781561,Keyboard and mous,['Ben Zakai'],2020,Medical,1,['558b142be4b0b32fcb3a9ef0'],Ben is a new doctor he is bad at it
510aa63491e0118dac781561,PC building,['Nadir Yaakov'],2020,Pharmacuticals,1,['53e99a09b7602d9702255f7a'],Nadir is new to building pcs
61f682d4b0af494db69500a7,advanced cake frosting,['Random Baker'],2017,Cooking,2,"['53e99c44b7602d97024f5a24','53e9a7ddb7602d970311ded9']",This paper explores advanced frosting techniques for cakes.
46d46959b71046ba8683ebba,introduction to neural widgets,['Nadir Yaakov'],2016,Computer Science,1,['53e9b9bab7602d97045aeed9'],Neural widgets are a fictional concept used for testing datasets.
67e7f15bac9c4277a2a80375,basic medical tools,['Ben Zakai'],2019,Medical,1,['53e9a42bb7602d9702d46e31'],An overview of commonly used basic medical instruments.
05499e8b2c404adfb7c7ab03,pc cooling techniques,['Nadir Yaakov'],2019,Engineering,1,['53e9a42bb7602d9702d46e31'],Discussion of air and liquid cooling methods for personal computers.
ec898e4bc4874369a459c98a,food chemistry basics,['Random'],2018,Chemistry,1,['558b142be4b0b32fcb3a9ef0'],This paper introduces chemical processes involved in cooking.
600aa63491e0118dac799001,advanced cake frosting,['Random Baker'],2020,Cooking,0,[],This paper explores advanced frosting techniques for cakes.
600aa63491e0118dac799002,introduction to neural widgets,['Nadir Yaakov'],2017,Computer Science,2,"['53e9a91ab7602d970326ca89','53e9b388b7602d9703e66f0b']",Neural widgets are a fictional concept used for testing datasets.
600aa63491e0118dac799003,basic medical tools,['Ben Zakai'],2015,Medical,1,['53e9be03b7602d9704ab965c'],An overview of commonly used basic medical instruments.
600aa63491e0118dac799004,pc cooling techniques,['Nadir Yaakov'],2019,Engineering,3,"['53e9bde2b7602d9704a94c83','53e9a5fdb7602d9702f2c78f','558ab72784ae84d265bf393c']",Discussion of air and liquid cooling methods for personal computers.
600aa63491e0118dac799005,food chemistry basics,['Random'],2020,Chemistry,0,[],This paper introduces chemical processes involved in cooking.
600aa63491e0118dac799006,quantum creativity in music,"['Elon Musk','Brian May']",2016,Physics,1,['53e9a42bb7602d9702d46e31'],This paper discusses the relationship between quantum thinking and musical creativity.
600aa63491e0118dac799007,statistical patterns in football strategy,"['Lionel Messi','Andres Iniesta']",2017,Sports Science,2,"['53e9b05cb7602d9703ac36c1','53e9b7eeb7602d970439d213']",An analysis of tactical decision making in professional football using statistics.
600aa63491e0118dac799008,philosophy of artificial consciousness,"['Stephen Hawking','Yuval Noah Harari']",2020,Philosophy,1,['53e9b7eeb7602d970439d213'],This work explores ethical and philosophical implications of conscious artificial intelligence.
600aa63491e0118dac799009,economic impact of global tours,['Taylor Swift'],2017,Economics,0,[],A study on the macroeconomic effects of large scale international music tours.
600aa63491e0118dac799010,cinematography and visual perception,"['Christopher Nolan','Hans Zimmer']",2019,Arts,1,['53e99a92b7602d970230c278'],An interdisciplinary study of sound design and visual perception in modern cinema.
600aa63491e0118dac799011,neuroscience of stage performance,"['Lady Gaga','Andrew Huberman']",2020,Neuroscience,0,[],An exploration of brain activity and emotional regulation during live stage performances.
600aa63491e0118dac799012,ai driven space mission planning,"['Elon Musk','Demis Hassabis']",2019,Aerospace Engineering,1,['53e9be03b7602d9704ab965c'],This paper studies the use of artificial intelligence for optimizing interplanetary mission planning.
600aa63491e0118dac799013,mathematics behind basketball shots,"['LeBron James','John Nash']",2018,Mathematics,1,['53e9be03b7602d9704ab965c'],A mathematical analysis of optimal shooting angles and trajectories in professional basketball.
600aa63491e0118dac799014,climate narratives in documentary film,['Leonardo DiCaprio'],2018,Environmental Studies,1,[53e9b388b7602d9703e66f0b],An analysis of how documentary films shape public perception of climate change.
600aa63491e0118dac799015,psychology of viral content,"['MrBeast','Daniel Kahneman']",2017,Psychology,2,"['53e9b05cb7602d9703ac36c1','53e9b7eeb7602d970439d213']",This study investigates cognitive biases behind the spread of viral online content.
600aa63491e0118dac799016,blockchain governance models,['Vitalik Buterin'],2018,Political Science,0,[],An examination of decentralized governance structures in blockchain ecosystems.
600aa63491e0118dac799017,acoustics of concert halls,"['Hans Zimmer','Yo-Yo Ma']",2019,Acoustics,0,[],This paper analyzes how architectural design influences sound quality in large concert halls.
600aa63491e0118dac799018,ethics of human enhancement,"['Elon Musk','Nick Bostrom']",2019,Ethics,1,['53e9a42bb7602d9702d46e31'],A discussion on moral and societal implications of enhancing human cognitive and physical abilities.
600aa63491e0118dac799019,data science in fashion design,['Virgil Abloh'],2020,Data Science,2,"['53e9b05cb7602d9703ac36c1','53e9b7eeb7602d970439d213']",This paper explores the use of data analytics in modern fashion design processes.
600aa63491e0118dac799020,linguistics of rap lyrics,"['Eminem','Noam Chomsky']",2017,Linguistics,1,['53e9a42bb7602d9702d46e31'],"A linguistic analysis of rhyme, syntax, and semantics in rap music lyrics."
600aa63491e0118dac799021,genetics of elite athletic performance,"['Serena Williams','Jennifer Doudna']",2020,Genetics,1,['53e9a42bb7602d9702d46e31'],A study on genetic factors influencing strength endurance and recovery in elite athletes.
600aa63491e0118dac799022,architecture of virtual worlds,"['Mark Zuckerberg','Rem Koolhaas']",2017,Architecture,1,['558b142be4b0b32fcb3a9ef0'],An exploration of spatial design principles applied to large scale virtual environments.
600aa63491e0118dac799023,cognitive load in chess mastery,"['Magnus Carlsen','Herbert Simon']",2017,Cognitive Science,1,['53e99a09b7602d9702255f7a'],An analysis of memory pattern recognition and decision making in expert chess play.
600aa63491e0118dac799024,supply chain resilience in global crises,"['Jeff Bezos','Clayton Christensen']",2017,Operations Research,2,"['53e99c44b7602d97024f5a24','53e9a7ddb7602d970311ded9']",This paper examines how large scale supply chains adapt to sudden global disruptions.
600aa63491e0118dac799025,astrophotography and image enhancement,"['Neil deGrasse Tyson','Ansel Adams']",2018,Astronomy,1,['53e9b9bab7602d97045aeed9'],A cross disciplinary study of astronomical imaging and photographic techniques.
600aa63491e0118dac799026,sociology of online fandoms,"['BTS','Pierre Bourdieu']",2016,Sociology,1,['53e99a52b7602d97022bb9a2'],An investigation into identity formation and social capital within online fan communities.
600aa63491e0118dac799027,cybersecurity lessons from espionage fiction,"['Edward Snowden','John le Carr']",2018,Cybersecurity,1,['53e9a2c8b7602d9702bd2ea3'],This paper analyzes security principles illustrated through espionage literature.
600aa63491e0118dac799028,economics of digital art markets,"['Beeple','Paul Krugman']",2018,Finance,2,"['53e9ae5cb7602d9703879334','53e9aa16b7602d9703384428']",A study of pricing mechanisms and market behavior in NFT based digital art.
600aa63491e0118dac799029,robot ethics in household assistants,"['Sophia Robot','Kate Darling']",2020,Robotics Ethics,2,"['557f1b45f6678c77ea228127','53e998a3b7602d97020de72d']",An ethical framework for human robot interaction in domestic environments.
600aa63491e0118dac799030,biomechanics of dance movement,"['Misty Copeland','Irving Lavin']",2020,Biomechanics,1,['53e9a855b7602d970319f1c7'],A biomechanical analysis of balance coordination and force in professional dance.
600aa63491e0118dac799031,decision making under extreme pressure,"['Tom Brady','Gary Klein']",2018,Decision Science,1,['53e9a36db7602d9702c7adca'],This paper analyzes rapid decision making strategies used in high pressure professional environments.
600aa63491e0118dac799032,urban mobility and electric vehicles,"['Elon Musk','Janette Sadik-Khan']",2016,Urban Planning,1,['53e9ade1b7602d97037e8856'],A study of electric vehicle adoption and its impact on modern city transportation systems.
600aa63491e0118dac799033,narrative structure in modern television,['Vince Gilligan'],2016,Media Studies,1,['53e9aff4b7602d9703a4b218'],An analysis of long form narrative techniques in contemporary television series.
600aa63491e0118dac799034,financial risk perception in retail trading,"['Warren Buffett','Robert Shiller']",2016,Behavioral Finance,1,['53e9b4abb7602d9703fba2ce'],This paper explores how cognitive bias affects financial risk assessment among retail investors.
600aa63491e0118dac799035,human attention in short form video,"['Mark Rober','Adam Grant']",2017,Human Computer Interaction,1,['53e9b4b4b7602d9703fcc163'],An investigation into attention span and engagement in short form educational videos.
600aa63491e0118dac799036,language evolution in online communities,"['PewDiePie','Steven Pinker']",2018,Linguistics,1,['53e9ade1b7602d97037e8856'],A study of slang formation and language drift in large online communities.
600aa63491e0118dac799037,materials science of sports equipment,"['Roger Federer','Andre Geim']",2018,Materials Science,1,['53e99a52b7602d97022bb9a2'],This work examines advanced materials used in professional sports equipment design.
600aa63491e0118dac799038,privacy tradeoffs in smart homes,"['Bill Gates','Helen Nissenbaum']",2016,Information Ethics,1,['53e9b4b4b7602d9703fcc163'],An ethical analysis of privacy risks introduced by smart home technologies.
600aa63491e0118dac799039,music tempo and cognitive performance,"['Hans Zimmer','Daniel Levitin']",2017,Cognitive Psychology,1,['53e9ade1b7602d97037e8856'],This study explores how musical tempo influences concentration and task performance.
